view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,final_value,start_value,numberOfPresses,hintSampleSize,hintClicks,numHintClicks,hintsFollowed,hintsIgnored,title,stimulus,slider_start,response
"[{""page_index"":0,""viewing_time"":2283.599999964237},{""page_index"":1,""viewing_time"":1698.800000011921}]",3986.3,instructions,0,3993,0.0-0.0,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":1973.5999999642372}]",1974.9,instructions,1,5971,0.0-1.0,,,,,,,,,,,,
,12602.1,reconstruction,2,18585,0.0-2.0,0.28,0.28,0,107,,0,0,0,practice 1,,,
,559330.7,reconstruction,3,577923,0.0-3.0,0.96,0.78,90,5,,0,0,0,practice 1,,,
,849.9,reconstruction,4,578780,0.0-4.0,0.18,0.18,0,5,,0,0,0,practice 1,,,
,317.3,reconstruction,5,579101,0.0-5.0,0.85,0.85,0,107,,0,0,0,practice 1,,,
,161.7,reconstruction,6,579265,0.0-6.0,0.85,0.85,0,107,,0,0,0,practice 1,,,
"[{""page_index"":0,""viewing_time"":3059.5}]",3060.7,instructions,7,582327,0.0-7.0,,,,,,,,,,,,
,1268.4,reconstruction,8,583600,0.0-8.0,0.68,0.68,0,5,,0,0,0,practice 2,,,
,4780.8,reconstruction,9,588414,0.0-9.0,0.75,0.75,0,5,,0,0,0,practice 2,,,
,2277.2,reconstruction,10,590708,0.0-10.0,0.72,0.72,0,5,,0,0,0,practice 2,,,
,1974.3,reconstruction,11,592695,0.0-11.0,0.97,0.97,0,107,,0,0,0,practice 2,,,
,1790,reconstruction,12,594499,0.0-12.0,0.05,0.05,0,5,,0,0,0,practice 2,,,
"[{""page_index"":0,""viewing_time"":2742.100000023842}]",2744.5,instructions,13,597251,0.0-13.0,,,,,,,,,,,,
,4033.8,reconstruction,14,601293,0.0-14.0,0.6,0.6,0,5,2.18,1,0,1,practice 3,,,
,2244.6,reconstruction,15,603547,0.0-15.0,0.13,0.13,0,5,1.12,1,0,1,practice 3,,,
,354.6,reconstruction,16,603909,0.0-16.0,0.72,0.72,0,5,,0,0,0,practice 3,,,
,229.7,reconstruction,17,604145,0.0-17.0,0.57,0.57,0,5,,0,0,0,practice 3,,,
,215.2,reconstruction,18,604366,0.0-18.0,0.18,0.18,0,5,,0,0,0,practice 3,,,
"[{""page_index"":0,""viewing_time"":1035.300000011921}]",1036.7,instructions,19,605404,0.0-19.0,,,,,,,,,,,,
,751.9,reconstruction,20,606162,0.0-20.0,0.28,0.28,0,107,,0,0,0,practice 4,,,
,196.6,reconstruction,21,606365,0.0-21.0,0.25,0.25,0,107,,0,0,0,practice 4,,,
,195.6,reconstruction,22,606566,0.0-22.0,0.68,0.68,0,107,,0,0,0,practice 4,,,
,200.1,reconstruction,23,606774,0.0-23.0,0.55,0.55,0,107,,0,0,0,practice 4,,,
,191.7,reconstruction,24,606974,0.0-24.0,0.28,0.28,0,107,,0,0,0,practice 4,,,
"[{""page_index"":0,""viewing_time"":2099.699999988079},{""page_index"":1,""viewing_time"":1385.800000011921}]",3486.5,instructions,25,610462,0.0-25.0,,,,,,,,,,,,
,1073.2,reconstruction,26,611540,0.0-26.0,0.85,0.85,0,5,,0,0,0,experiment 1,,,
,550.7,reconstruction,27,612096,0.0-27.0,0.15,0.15,0,5,,0,0,0,experiment 1,,,
,240.9,reconstruction,28,612342,0.0-28.0,0.8,0.8,0,5,,0,0,0,experiment 1,,,
,219.2,reconstruction,29,612569,0.0-29.0,0.45,0.45,0,5,,0,0,0,experiment 1,,,
,219.5,reconstruction,30,612794,0.0-30.0,0.78,0.78,0,107,,0,0,0,experiment 1,,,
,200.2,reconstruction,31,613000,0.0-31.0,0.15,0.15,0,5,,0,0,0,experiment 1,,,
,396.2,reconstruction,32,613402,0.0-32.0,0.55,0.55,0,5,,0,0,0,experiment 1,,,
,212.5,reconstruction,33,613624,0.0-33.0,0.43,0.43,0,107,,0,0,0,experiment 1,,,
,208.2,reconstruction,34,613838,0.0-34.0,0.43,0.43,0,107,,0,0,0,experiment 1,,,
,214.1,reconstruction,35,614055,0.0-35.0,0.75,0.75,0,5,,0,0,0,experiment 1,,,
,200.9,reconstruction,36,614263,0.0-36.0,0.43,0.43,0,107,,0,0,0,experiment 1,,,
,208.5,reconstruction,37,614477,0.0-37.0,0.45,0.45,0,5,,0,0,0,experiment 1,,,
,206.5,reconstruction,38,614691,0.0-38.0,0.07,0.07,0,107,,0,0,0,experiment 1,,,
,194.9,reconstruction,39,614892,0.0-39.0,0.6,0.6,0,107,,0,0,0,experiment 1,,,
,195.1,reconstruction,40,615095,0.0-40.0,0.6,0.6,0,107,,0,0,0,experiment 1,,,
,206.4,reconstruction,41,615308,0.0-41.0,0.63,0.63,0,107,,0,0,0,experiment 1,,,
,212.6,reconstruction,42,615527,0.0-42.0,0.53,0.53,0,5,,0,0,0,experiment 1,,,
,198.5,reconstruction,43,615731,0.0-43.0,0.95,0.95,0,5,,0,0,0,experiment 1,,,
,202.6,reconstruction,44,615939,0.0-44.0,0.32,0.32,0,107,,0,0,0,experiment 1,,,
,177.7,reconstruction,45,616125,0.0-45.0,0.38,0.38,0,107,,0,0,0,experiment 1,,,
,199.8,reconstruction,46,616331,0.0-46.0,0.6,0.6,0,5,,0,0,0,experiment 1,,,
,220.6,reconstruction,47,616555,0.0-47.0,0.35,0.35,0,5,,0,0,0,experiment 1,,,
,201.9,reconstruction,48,616763,0.0-48.0,0.65,0.65,0,107,,0,0,0,experiment 1,,,
,216.6,reconstruction,49,616985,0.0-49.0,0.05,0.05,0,107,,0,0,0,experiment 1,,,
,216.5,reconstruction,50,617207,0.0-50.0,0.32,0.32,0,107,,0,0,0,experiment 1,,,
,215.4,reconstruction,51,617429,0.0-51.0,0.43,0.43,0,107,,0,0,0,experiment 1,,,
,196.1,reconstruction,52,617631,0.0-52.0,0.68,0.68,0,5,,0,0,0,experiment 1,,,
,229.8,reconstruction,53,617866,0.0-53.0,0.53,0.53,0,107,,0,0,0,experiment 1,,,
,239.7,reconstruction,54,618110,0.0-54.0,0.13,0.13,0,5,,0,0,0,experiment 1,,,
,209.5,reconstruction,55,618326,0.0-55.0,0.78,0.78,0,5,,0,0,0,experiment 1,,,
,203.8,reconstruction,56,618536,0.0-56.0,0.63,0.63,0,5,,0,0,0,experiment 1,,,
,197,reconstruction,57,618741,0.0-57.0,0.88,0.88,0,107,,0,0,0,experiment 1,,,
,231.6,reconstruction,58,618981,0.0-58.0,0.5,0.5,0,107,,0,0,0,experiment 1,,,
,216.3,reconstruction,59,619202,0.0-59.0,0.28,0.28,0,107,,0,0,0,experiment 1,,,
,216,reconstruction,60,619423,0.0-60.0,0.65,0.65,0,107,,0,0,0,experiment 1,,,
,207.8,reconstruction,61,619637,0.0-61.0,0.78,0.78,0,5,,0,0,0,experiment 1,,,
,219.7,reconstruction,62,619864,0.0-62.0,0.18,0.18,0,107,,0,0,0,experiment 1,,,
,226.7,reconstruction,63,620095,0.0-63.0,0.55,0.55,0,107,,0,0,0,experiment 1,,,
,203.1,reconstruction,64,620303,0.0-64.0,0.72,0.72,0,107,,0,0,0,experiment 1,,,
,242.8,reconstruction,65,620551,0.0-65.0,0.18,0.18,0,5,,0,0,0,experiment 1,,,
,229.7,reconstruction,66,620783,0.0-66.0,0.63,0.63,0,5,,0,0,0,experiment 1,,,
,224.8,reconstruction,67,621012,0.0-67.0,0.7,0.7,0,5,,0,0,0,experiment 1,,,
,209.9,reconstruction,68,621228,0.0-68.0,0.55,0.55,0,107,,0,0,0,experiment 1,,,
,230.5,reconstruction,69,621466,0.0-69.0,0.35,0.35,0,5,,0,0,0,experiment 1,,,
,422.6,reconstruction,70,621901,0.0-70.0,0.55,0.55,0,5,,0,0,0,experiment 1,,,
,194.4,reconstruction,71,622103,0.0-71.0,0.82,0.82,0,5,,0,0,0,experiment 1,,,
,229.6,reconstruction,72,622339,0.0-72.0,0.6,0.6,0,5,,0,0,0,experiment 1,,,
,255,reconstruction,73,622598,0.0-73.0,0.85,0.85,0,107,,0,0,0,experiment 1,,,
,267.1,reconstruction,74,622870,0.0-74.0,0.05,0.05,0,107,,0,0,0,experiment 1,,,
,259.4,reconstruction,75,623136,0.0-75.0,0.4,0.4,0,5,,0,0,0,experiment 1,,,
"[{""page_index"":0,""viewing_time"":1298.800000011921}]",1300.1,instructions,76,624438,0.0-76.0,,,,,,,,,,,,
,832.4,reconstruction,77,625276,0.0-77.0,0.78,0.78,0,107,,0,0,0,experiment 2,,,
,210.2,reconstruction,78,625491,0.0-78.0,0.75,0.75,0,107,,0,0,0,experiment 2,,,
,234.7,reconstruction,79,625729,0.0-79.0,0.85,0.85,0,107,,0,0,0,experiment 2,,,
,199.7,reconstruction,80,625942,0.0-80.0,0.88,0.88,0,5,,0,0,0,experiment 2,,,
,230.9,reconstruction,81,626178,0.0-81.0,0.47,0.47,0,107,,0,0,0,experiment 2,,,
,219.3,reconstruction,82,626401,0.0-82.0,0.82,0.82,0,5,,0,0,0,experiment 2,,,
,218,reconstruction,83,626625,0.0-83.0,0.93,0.93,0,107,,0,0,0,experiment 2,,,
,229.4,reconstruction,84,626858,0.0-84.0,0.32,0.32,0,5,,0,0,0,experiment 2,,,
,219.6,reconstruction,85,627082,0.0-85.0,0.3,0.3,0,107,,0,0,0,experiment 2,,,
,215.6,reconstruction,86,627304,0.0-86.0,0.72,0.72,0,107,,0,0,0,experiment 2,,,
,223.7,reconstruction,87,627534,0.0-87.0,0.53,0.53,0,107,,0,0,0,experiment 2,,,
,246.7,reconstruction,88,627786,0.0-88.0,0.78,0.78,0,107,,0,0,0,experiment 2,,,
,210.6,reconstruction,89,628002,0.0-89.0,0.3,0.3,0,107,,0,0,0,experiment 2,,,
,221.2,reconstruction,90,628227,0.0-90.0,0.13,0.13,0,107,,0,0,0,experiment 2,,,
,241,reconstruction,91,628472,0.0-91.0,0.43,0.43,0,107,,0,0,0,experiment 2,,,
,210.6,reconstruction,92,628687,0.0-92.0,0.25,0.25,0,5,,0,0,0,experiment 2,,,
,249.2,reconstruction,93,628941,0.0-93.0,0.05,0.05,0,107,,0,0,0,experiment 2,,,
,238.2,reconstruction,94,629184,0.0-94.0,0.13,0.13,0,107,,0,0,0,experiment 2,,,
,213.9,reconstruction,95,629404,0.0-95.0,0.2,0.2,0,5,,0,0,0,experiment 2,,,
,253.4,reconstruction,96,629662,0.0-96.0,0.75,0.75,0,107,,0,0,0,experiment 2,,,
,246.2,reconstruction,97,629913,0.0-97.0,0.45,0.45,0,107,,0,0,0,experiment 2,,,
,204.1,reconstruction,98,630123,0.0-98.0,0.05,0.05,0,107,,0,0,0,experiment 2,,,
,227.8,reconstruction,99,630355,0.0-99.0,0.13,0.13,0,5,,0,0,0,experiment 2,,,
,220.7,reconstruction,100,630586,0.0-100.0,0.28,0.28,0,107,,0,0,0,experiment 2,,,
,187.2,reconstruction,101,630781,0.0-101.0,0.55,0.55,0,5,,0,0,0,experiment 2,,,
,221.3,reconstruction,102,631007,0.0-102.0,0.8,0.8,0,5,,0,0,0,experiment 2,,,
,231.2,reconstruction,103,631242,0.0-103.0,0.55,0.55,0,5,,0,0,0,experiment 2,,,
,220.3,reconstruction,104,631467,0.0-104.0,0.88,0.88,0,5,,0,0,0,experiment 2,,,
,244,reconstruction,105,631716,0.0-105.0,0.2,0.2,0,107,,0,0,0,experiment 2,,,
,237,reconstruction,106,631955,0.0-106.0,0.35,0.35,0,107,,0,0,0,experiment 2,,,
,261.3,reconstruction,107,632222,0.0-107.0,0.53,0.53,0,5,,0,0,0,experiment 2,,,
,236.8,reconstruction,108,632464,0.0-108.0,0.15,0.15,0,5,,0,0,0,experiment 2,,,
,238.2,reconstruction,109,632707,0.0-109.0,0.82,0.82,0,5,,0,0,0,experiment 2,,,
,230,reconstruction,110,632944,0.0-110.0,0.1,0.1,0,107,,0,0,0,experiment 2,,,
,218,reconstruction,111,633168,0.0-111.0,0.38,0.38,0,107,,0,0,0,experiment 2,,,
,235.9,reconstruction,112,633410,0.0-112.0,0.07,0.07,0,5,,0,0,0,experiment 2,,,
,251.5,reconstruction,113,633668,0.0-113.0,0.32,0.32,0,5,,0,0,0,experiment 2,,,
,259.3,reconstruction,114,633933,0.0-114.0,0.88,0.88,0,5,,0,0,0,experiment 2,,,
,238.3,reconstruction,115,634177,0.0-115.0,0.43,0.43,0,107,,0,0,0,experiment 2,,,
,257.1,reconstruction,116,634440,0.0-116.0,0.4,0.4,0,107,,0,0,0,experiment 2,,,
,220.6,reconstruction,117,634664,0.0-117.0,0.65,0.65,0,107,,0,0,0,experiment 2,,,
,259.7,reconstruction,118,634930,0.0-118.0,0.35,0.35,0,5,,0,0,0,experiment 2,,,
,258.3,reconstruction,119,635194,0.0-119.0,0.43,0.43,0,107,,0,0,0,experiment 2,,,
,260.7,reconstruction,120,635461,0.0-120.0,0.7,0.7,0,107,,0,0,0,experiment 2,,,
,238.5,reconstruction,121,635707,0.0-121.0,0.3,0.3,0,5,,0,0,0,experiment 2,,,
,233.1,reconstruction,122,635947,0.0-122.0,0.03,0.03,0,5,,0,0,0,experiment 2,,,
,236,reconstruction,123,636189,0.0-123.0,0.85,0.85,0,5,,0,0,0,experiment 2,,,
,270.4,reconstruction,124,636462,0.0-124.0,0.72,0.72,0,5,,0,0,0,experiment 2,,,
,312.5,reconstruction,125,636780,0.0-125.0,0.85,0.85,0,107,,0,0,0,experiment 2,,,
,244.7,reconstruction,126,637031,0.0-126.0,0.2,0.2,0,107,,0,0,0,experiment 2,,,
,258.3,html-slider-response,127,637295,0.0-127.0,,,,,,,,,,<p>רמת ביטחון </p>,50,50
